VD,North,East
1801121,6581670,678215
1801122,6582430,676608
1801123,6582120,676279
1801124,6581800,676046
1802301,6575280,674150
1802302,6575050,673420
1802303,6574350,674449
1802304,6574420,673919
1802305,6573600,674338
1802306,6573640,674012
1802307,6573850,673433
1802308,6572870,674066
1802309,6573510,673648
1802310,6573480,672843
1802311,6573200,673181
1802312,6573670,673183
1802313,6574330,672196
1802314,6574050,672810
1802315,6574690,672818
1802316,6572490,672892
1802317,6572350,672447
1802318,6573000,672701
1802319,6572650,672098
1802320,6572020,673397
1802321,6573330,672186
1802322,6573110,671874
1802323,6573360,671517
1802324,6573150,671185
1802325,6573850,671784
1802326,6572760,672434
1802327,6573970,673720
1802328,6572030,672721
1802329,6573000,673473
1802330,6572760,671628
1802501,6574840,675007
1802502,6574140,674976
1802503,6574700,675742
1802504,6574140,676069
1802505,6573460,676420
1802506,6573440,675612
1802507,6573340,675222
1802508,6572780,676559
1802509,6572430,676131
1802510,6572410,675885
1802511,6572260,675548
1802512,6572600,675287
1802513,6572120,674879
1802514,6574170,675481
1802515,6570540,675728
1802516,6570290,676788
1802517,6570070,677327
1802518,6571080,677762
1802519,6571120,676773
1802520,6571680,676983
1802521,6571100,676307
1802522,6571960,676517
1802523,6571220,675928
1802524,6571660,675642
1802525,6572750,677043
1802526,6573410,677617
1802527,6572260,677433
1802528,6572340,678120
1802529,6572830,677583
1802530,6571370,676587
1802531,6571740,674517
1802532,6571550,676056
1802533,6570770,676977
1802534,6570790,676696
1802535,6572740,676177
1803601,6574600,678539
1803602,6574570,679089
1803603,6575160,679038
1803604,6574860,678163
1803605,6575610,678462
1803606,6575240,678464
1803607,6574880,677625
1803608,6575680,677030
1803609,6575840,677898
1803610,6576210,676996
1803611,6576460,677662
1803612,6576580,677275
1803613,6577440,677395
1803614,6576640,676211
1803615,6577320,676245
1803616,6576770,676819
1803617,6577320,675949
1803618,6570990,681517
1803619,6572080,679178
1803620,6573930,678062
1803621,6574150,677593
1803622,6577380,676643
1803623,6573950,678407
1803624,6575330,678025
1803625,6575400,676808
1803626,6575850,677445
1803627,6576960,677394
1803628,6576880,676494
1802101,6576390,669517
1802102,6576660,669132
1802103,6576240,669137
1802104,6576260,668671
1802105,6575820,669409
1802106,6575570,669053
1802107,6575780,668707
1802108,6575290,668665
1802109,6574250,668831
1802110,6575170,669160
1802111,6573520,669826
1802112,6575060,671379
1802113,6574820,670307
1802114,6575430,669821
1802115,6575230,670599
1802116,6574130,671111
1802117,6575920,671063
1802118,6575890,671635
1802119,6575460,671518
1802120,6575780,672280
1802121,6575260,672556
1802122,6575970,672860
1802123,6575700,673209
1802124,6576510,672795
1802125,6574550,669266
1802126,6574130,670020
1802127,6575480,668305
1802128,6575720,670608
1802129,6575010,669553
1802130,6575800,668272
1803901,6578190,671504
1803902,6578270,671785
1803903,6578820,671301
1803904,6579220,671463
1803905,6578890,670725
1803906,6578860,669811
1803907,6579300,671045
1803908,6578190,671087
1803909,6577970,670888
1803910,6577930,670242
1803911,6578410,670002
1803912,6577670,670594
1803913,6577280,670510
1803914,6577350,671201
1803915,6577680,671118
1803916,6577530,671443
1803917,6576650,670358
1803918,6577160,671098
1803919,6576480,669824
1803920,6576690,670035
1803921,6576920,669638
1803922,6577420,670090
1803923,6577950,669952
1803924,6578250,668913
1803925,6577370,669252
1803926,6577230,668688
1803927,6577320,667799
1803928,6576470,668210
1803929,6577650,672394
1803930,6578790,671936
1803931,6578480,672444
1803932,6578390,672671
1803933,6578360,670630
1803934,6577840,668380
1803935,6577740,671387
1803936,6576840,671660
1803937,6578010,672105
1803938,6577690,669873
1803939,6578410,672029
1803940,6576750,670774
1803941,6578010,670613
1803942,6578040,672787
1803943,6577240,669770
1804001,6577020,667350
1804002,6576920,666504
1804003,6576270,666810
1804004,6576130,667664
1804005,6576060,667285
1804006,6575660,666730
1804007,6575750,666172
1804008,6575210,666272
1804009,6574640,664429
1804010,6574290,665202
1804011,6574610,665581
1804012,6573860,665395
1804013,6575000,664835
1804014,6574590,664706
1804015,6574110,664349
1804016,6574010,664747
1804017,6574720,663852
1804018,6575970,665466
1804019,6574450,665797
1804020,6576340,667211
1804021,6574710,665537
1804022,6574930,665599
1803101,6584720,663296
1803102,6584270,662804
1803103,6584280,663464
1803104,6583850,663233
1803105,6583870,662378
1803106,6582570,663084
1803107,6583390,664143
1803108,6583790,663817
1803109,6584080,664261
1803110,6584910,664275
1803111,6585470,663280
1803112,6583060,662317
1803113,6585980,661546
1803114,6586030,662204
1803115,6585450,661643
1803116,6585190,662350
1803117,6583330,663700
1803118,6585120,663787
1803119,6584250,663179
1803120,6585050,661673
1803121,6583010,664043
1803122,6586330,662621
1803801,6583380,660633
1803802,6583140,661230
1803803,6584000,661000
1803804,6583750,661444
1803805,6584080,661812
1803806,6584620,661827
1803807,6584690,661529
1803808,6584370,661229
1803809,6584960,661115
1803810,6584870,659698
1803811,6585260,659048
1803812,6584930,660578
1803813,6586110,659190
1803814,6586510,658295
1803815,6587250,659813
1803816,6586430,660200
1803817,6585660,660959
1803818,6585740,660415
1803819,6583720,659597
1803820,6584320,662209
1803821,6583840,661189
1804101,6584790,665598
1804102,6584770,664943
1804103,6585680,664712
1804104,6586020,663221
1804105,6586380,663632
1804106,6586820,664600
1804107,6586410,665463
1804108,6586110,665708
1804109,6585090,666375
1804110,6587760,663678
1804111,6587780,664450
1804112,6587860,664873
1804113,6587600,664811
