VD,North,East
1250401,6578960,662368
1250901,6589780,651123
1250902,6586270,652345
1250903,6583450,654571
1250904,6580480,652497
1250905,6579390,656607
1390101,6600230,649087
1390102,6600760,649045
1390103,6600330,649930
1390104,6601880,650482
1390105,6597200,645630
1390305,6596330,655840
1390306,6597440,653269
1390307,6593780,653491
1390308,6598280,654316
1390309,6597110,657060
1390310,6603600,656012
1390311,6599270,655717
1390312,6597720,655054
1390512,6609190,648337
1910101,6614750,648865
1910102,6612430,653966
1910103,6611810,653256
1910122,6616490,652011
1910204,6611400,655585
1910605,6614540,660397
1910606,6614360,661245
1910607,6614830,663731
1910608,6613670,660904
1910609,6613540,660086
1910610,6612740,661237
1910611,6612320,661051
1910612,6612430,660348
1910617,6617950,660423
1910819,6610220,666782
1910820,6608330,661509
1910918,6620420,670756
1911213,6612310,659950
1911214,6612650,659238
1911215,6612020,659708
1911216,6611290,659103
1911221,6610520,657544
1911223,6611500,660034
3050101,6605850,643246
3050102,6605960,640427
3050103,6605300,641724
3050104,6602970,640374
3050105,6604710,644570
3050206,6606460,642167
3050207,6607050,642675
3050208,6608330,641187
3050309,6610600,637143
3050410,6621080,645212
3810105,6612270,617277
3810106,6611910,616346
3810107,6612850,616194
3810108,6612790,616831
3810109,6612520,619185
3810110,6612810,618214
3810111,6610710,618079
3810112,6613120,620167
3810120,6613430,617673
3810122,6613470,616608
3810123,6614220,615312
3810124,6615770,618334
3810127,6621820,610512
3810225,6604210,613079
3810526,6612320,610375
3810901,6599340,629269
3811703,6606650,631419
3811804,6615530,627465
3812128,6621080,635909
3812629,6626660,626109
3813132,6629820,605149
3813331,6629110,617041
3303259,6629910,661195
3303363,6623990,651321
3303364,6627700,654191
3303365,6627330,655903
3303366,6626870,656883
3303369,6624670,656641
3303566,6623900,657368
3303567,6624950,657860
3303568,6622930,659906
3303570,6621930,656404
3303571,6625600,657050
3303775,6630030,669960
3800001,6638810,646945
3800002,6638610,647169
3800003,6637590,647937
3800004,6639120,647127
3800005,6638910,647274
3800006,6639200,647448
3800007,6639000,647568
3800008,6638760,647753
3800009,6638510,648221
3800010,6638210,648264
3800011,6639200,647879
3800012,6639030,648133
3800013,6638680,648394
3800014,6637740,648633
3800015,6637320,649011
3800016,6637980,648605
3800017,6637610,648463
3800042,6639700,647378
3800043,6640010,646760
3800044,6640450,646714
3800045,6640530,646360
3800046,6642690,645131
3800047,6640280,646994
3800048,6640620,647203
3800049,6639580,647679
3800050,6640330,647669
3800051,6639880,647846
3800052,6640020,648111
3800053,6640290,647987
3800055,6639450,648156
3800056,6639630,648557
3800057,6639850,648320
3800058,6640000,649006
3800059,6641150,649920
3800060,6640780,649231
3800061,6640690,648768
3800063,6640540,648467
3800064,6641140,648360
3800065,6640820,647980
3800066,6641420,647709
3800067,6642060,647707
3800068,6641650,648211
3800069,6642030,648367
3800070,6645710,648584
3800091,6639300,646953
3800092,6639070,646683
3800093,6638210,646931
3800094,6638380,646524
3800095,6638070,646363
3800096,6638830,646444
3800097,6638690,646214
3800098,6638290,645837
3800100,6639650,646649
3800101,6639330,646400
3800102,6639140,645939
3800103,6640210,645044
3800104,6638910,644685
3800105,6637950,644090
3800106,6637120,643840
3800107,6638120,642951
3800108,6637370,643151
3800131,6639050,648475
3800132,6638800,648663
3800133,6639400,648827
3800134,6638790,649680
3800135,6637920,649882
3800138,6639730,649200
3800139,6639420,649500
3800140,6638960,650030
3800141,6639970,649476
3800142,6640310,649759
3800143,6639850,649807
3800144,6639520,649776
3800145,6639380,650016
3800146,6640520,650318
3800147,6639570,650230
3800149,6639300,650739
3800150,6639970,651060
3800151,6638130,651921
3800181,6637280,646081
3800182,6637880,644527
3800183,6637240,645138
3800184,6637550,645316
3800186,6637500,644777
3800187,6637180,647623
3800188,6636770,647150
3800189,6637520,646586
3800190,6636960,646481
3800191,6636770,645939
3800192,6636080,646378
3800193,6636370,646110
3800194,6635610,646583
3800195,6634880,647014
3800196,6634970,646063
3800197,6635270,644610
3800221,6635890,650058
3800222,6634420,650761
3800223,6633110,650231
3800224,6634250,652031
3800225,6633840,651347
3800226,6633790,651969
3800227,6633320,651394
3800228,6632700,651307
3800260,6636020,647676
3800261,6636100,648518
3800262,6634710,647896
3800263,6634070,648879
3800264,6634230,647176
3800265,6634130,646862
3800266,6633670,647140
3800267,6632140,646776
3800268,6633430,646838
3800269,6633240,647111
3800270,6633090,647544
3800271,6632860,647094
3800272,6632620,647849
3800273,6632330,647756
3800274,6632150,649219
3800275,6632110,648210
3800276,6631380,648718
3800277,6630350,647987
3800301,6657770,641735
3800302,6657660,642529
3800303,6662460,638127
3800304,6664810,647543
3800321,6648990,650416
3800322,6649590,650769
3800323,6650330,650758
3800324,6648860,652076
3800325,6651750,649314
3800326,6657760,653296
3800327,6666270,655025
3800341,6641950,639402
3800342,6647210,643858
3800343,6648170,631638
3800344,6648370,641581
3800345,6649710,638231
3800346,6654650,638975
3800347,6657790,629716
3800360,6644410,653356
3800361,6641750,652737
3800362,6644270,661221
3800363,6650170,661715
3800364,6658570,659221
3800365,6655660,665527
3800366,6655100,671337
3800381,6634830,653766
3800382,6638470,658439
3800383,6637890,660848
3800384,6640010,666572
3800385,6641710,670351
3800386,6641200,673228
3800387,6655190,682571
3800388,6645250,683108
3800401,6629110,645996
3800402,6629580,642670
3800403,6630120,635907
3800404,6638210,636440
3800405,6636070,636799
3800406,6637480,627224
3800407,6646870,621899
3190106,6723730,641173
3190107,6719030,636695
3190108,6712480,631322
3190202,6725430,632653
3190204,6724980,630699
3190205,6722270,632847
3310101,6654560,600281
3310102,6652620,608823
3310405,6643740,613811
3310508,6672320,607018
3310609,6676700,621831
3310711,6662960,621725
3600101,6697350,640520
3600102,6692430,638100
3600103,6692600,639272
3600104,6689650,643596
3600304,6679050,650906
3600305,6672500,644443
3600406,6685750,649885
3600508,6689220,633080
3600510,6678760,634792
3600611,6697620,626932
3600713,6709690,642428
3600817,6700990,654410
3600918,6713360,662700
3820101,6685250,686870
3820118,6684520,687406
3820208,6692600,673732
3820403,6692090,688029
3820404,6683230,696321
3820405,6685000,684730
3820606,6673580,689675
3820809,6699790,695920
3820910,6663050,671423
3820911,6663700,679683
3821113,6675210,672855
3821114,6677390,678343
3821315,6672080,664166
3821316,6680050,658964
4280101,6545720,550327
4280102,6549990,548941
4280103,6544440,550890
4280104,6539500,555678
4280105,6543760,539735
4280106,6544910,560955
4280201,6554820,554125
4610101,6547360,632592
4610102,6541010,631726
4610103,6547540,631504
4610104,6552770,630556
4610305,6558310,622641
4610406,6546800,622072
4610506,6555230,613118
4800101,6514020,616098
4800102,6516960,611635
4800104,6510560,614287
4800105,6511500,617125
4800106,6510500,619785
4800107,6516050,614535
4800520,6500890,614431
4800521,6501770,605421
4800622,6510470,611159
4800723,6511110,606435
4800824,6510500,599726
4800103,6516240,615170
4800210,6515630,617535
4800211,6515740,616736
4800212,6515880,615888
4800215,6514940,618407
4800218,6519410,615454
4800925,6511320,585182
4801026,6519520,602705
4801027,6521110,607055
4801428,6540600,616101
4802731,6531060,603908
4800208,6514110,616727
4800209,6514800,616446
4800213,6514590,617256
4800214,6514160,618085
4800216,6513450,618706
4800217,6514040,620101
4800223,6513670,617316
4800419,6516820,623765
4801529,6532400,618864
4802030,6518840,635436
4810101,6506040,622359
4810102,6506060,623272
4810103,6503280,623707
4810104,6506290,621272
4810105,6505670,620040
4810106,6506450,619260
4810107,6507710,625645
4820101,6546800,589181
4820102,6548540,591291
4820103,6543400,596647
4820104,6547100,590759
4820209,6547340,605736
4820507,6559680,594745
4820508,6560160,602977
4820705,6553400,590216
4820706,6560090,586253
4820810,6535300,594221
4830101,6540490,569283
4830102,6540520,569680
4830103,6541550,568686
4830104,6540280,568070
4830105,6540120,569969
4830106,6539780,569953
4830112,6536850,569113
4830114,6539540,571186
4830201,6523160,583187
4830302,6538950,582094
4830401,6552040,581377
4830501,6548760,571623
4830601,6532190,572574
4830702,6536960,562241
4830801,6563250,556458
4830901,6539880,567192
4830902,6539510,568165
4830903,6538630,567919
4830904,6539060,568817
4830905,6539430,569814
4840107,6581110,585492
4840108,6581160,584791
4840109,6580470,585436
4840110,6579530,584425
4840111,6580280,583891
4840115,6581300,583742
4840116,6579460,582785
4840217,6582360,586729
4840218,6582620,586591
4840219,6582770,586271
4840221,6583340,587038
4840228,6584830,588355
4840229,6584150,587571
4840230,6583060,587702
4840231,6582020,586797
4840232,6581920,587335
4840234,6581660,586416
4840235,6581170,586694
4840236,6581360,586184
4840237,6579230,585892
4840238,6579770,587436
4840239,6581600,590345
4841753,6564680,573892
4841854,6577710,583871
4841855,6576060,584216
4841856,6569410,583356
4841957,6575970,590054
4842058,6569250,594881
4842145,6580450,596334
4842146,6588340,597841
4840101,6582510,585924
4840102,6583350,584672
4840103,6582050,585561
4840104,6581620,585788
4840105,6581510,585430
4840106,6581770,585214
4840112,6582140,584734
4840113,6582730,584040
4840114,6581540,580281
4840160,6582160,585776
4840220,6583190,586000
4840222,6583530,586309
4840223,6583970,586066
4840224,6584120,584697
4840225,6585370,583825
4840226,6585620,585368
4840227,6585400,587149
4840340,6589030,581651
4840341,6588310,583860
4840342,6586980,583608
4840343,6591090,583554
4840344,6587530,585222
4841048,6583130,576109
4841049,6585940,580800
4841150,6588730,575511
4841351,6575740,574091
4841359,6578930,580930
4841552,6574750,559820
4842147,6589570,589000
4860101,6584600,613035
4860102,6582350,615370
4860103,6583480,614601
4860104,6583490,615706
4860105,6582880,614745
4860106,6582610,613756
4860107,6579970,617051
4860108,6583730,614863
4860109,6585750,616343
4860110,6594480,615375
4860401,6568430,626338
4860402,6573050,629990
4860403,6573440,625457
4860501,6571400,610280
4860601,6566310,619823
4860602,6573580,618392
4860701,6578940,626744
4860801,6587790,626610
4861301,6579320,607285
4861401,6590810,605071
4880101,6531900,649973
4880102,6519740,653610
4880103,6530170,648163
4880201,6539060,640948
4880202,6536150,646084
4880203,6536620,642387
4880301,6522320,644324
5800101,6475270,536041
5800103,6475210,535693
5800104,6475480,535238
5800105,6475220,536353
5800109,6474890,535137
5800110,6474520,535247
5800111,6474600,534685
5800112,6475060,534443
5800113,6475410,534772
5800118,6475630,535766
5800119,6474300,534465
5800501,6472720,529908
5800502,6475270,530234
5800503,6476250,530018
5800504,6475140,528380
5800601,6478800,529877
5801901,6481680,528921
5801902,6486830,530199
5801903,6484510,530747
5801904,6484400,527348
5801905,6485020,528655
5802001,6491050,525001
5802201,6491430,535011
5803501,6476500,534005
5803502,6476020,534300
5803503,6475900,533731
5803504,6476540,533373
5803505,6477640,535142
5803601,6475180,532786
5803602,6474180,533358
5803603,6474230,532583
5803604,6474920,533655
5803605,6474660,532824
5800102,6474860,535623
5800106,6474100,535813
5800107,6474120,536294
5800108,6473520,536112
5800114,6473850,534680
5800115,6473980,535398
5800116,6473480,535359
5800117,6474670,536064
5800120,6472970,534018
5800401,6472040,532965
5800402,6471390,533711
5800403,6469300,531740
5800404,6470950,533285
5800405,6471650,533188
5800901,6453500,541429
5801001,6460090,534837
5801101,6456170,527104
5801201,6443150,524288
5801401,6469280,522071
5801501,6476300,520392
5801701,6473970,524394
5801801,6468300,526690
5803301,6473290,536984
5803302,6472530,537531
5803303,6472690,537025
5803304,6471940,537913
5803305,6471170,537830
5803306,6471970,537142
5803307,6470740,538060
5803308,6469110,537017
5803309,6472970,536015
5803310,6472670,536532
5800201,6474890,536601
5800202,6474550,536689
5800203,6473710,537352
5800204,6474450,537216
5800205,6474350,537542
5800206,6475270,538634
5800207,6474090,536760
5800208,6474280,536990
5800301,6470030,543514
5800302,6471760,539861
5800303,6471390,540473
5800304,6471450,539095
5800305,6470820,539913
5800306,6470830,540989
5800307,6470780,539202
5800308,6468600,539776
5800309,6468530,541757
5800801,6461410,543837
5800802,6467020,542385
5802401,6482140,540265
5802402,6476300,541811
5802403,6477870,542598
5802404,6481380,536609
5802501,6481560,547903
5802701,6479820,553477
5802901,6473340,554853
5803101,6469180,549477
5803201,6474150,544227
5803401,6473140,537730
5803402,6472950,538439
5803403,6473130,539149
5803404,6472560,538086
5803405,6472590,538818
5803406,6472390,539446
5810101,6509000,576900
5810102,6503830,579103
5810103,6504330,589177
5810104,6500310,567808
5810105,6503730,563559
5810106,6503770,568046
5810107,6504280,572086
5810108,6513850,567439
5810109,6499600,560660
5810110,6503310,557901
5810111,6496670,564406
5810112,6496090,566178
5810113,6496780,566689
5810114,6496880,567266
5810115,6496210,566941
5810116,6495900,567384
5810117,6496390,567636
5810118,6495650,567986
5810119,6495870,567709
5810120,6495140,567683
5810121,6495240,568497
5810122,6495050,568594
5810123,6495530,568904
5810124,6497810,569606
5810125,6495090,568986
5810126,6495280,569243
5810127,6495230,569467
5810128,6495180,570778
5810129,6494950,569638
5810130,6494670,569702
5810131,6494680,569307
5810132,6494240,569400
5810133,6494140,568952
5810134,6494210,568567
5810135,6494560,567906
5810136,6494650,568836
5810201,6488830,574064
5810202,6491000,570563
5810203,6492300,570514
5810204,6492920,570097
5810205,6493200,569919
5810206,6493260,570399
5810207,6493670,571302
5810208,6491990,573227
5810209,6492440,572180
5810210,6492270,575090
5810211,6496150,578153
5810212,6486500,587256
5810213,6496520,590501
5810214,6487940,608820
5810215,6497670,573196
5810216,6496880,572322
5810217,6495450,573247
5810218,6494090,569958
5810219,6493650,569604
5810220,6493650,568820
5810221,6493530,568131
5810222,6493960,567940
5810223,6494230,567359
5810224,6493080,567306
5810225,6489950,568198
5810226,6493150,568244
5810227,6492380,568200
5810228,6492830,567940
5810229,6493590,566676
5810230,6493300,565218
5810231,6492180,562482
5810232,6494530,556527
5810233,6494590,552621
5810234,6494730,544664
5810235,6489460,555251
5810236,6482980,558671
5130201,6428790,535682
5130202,6430620,530130
5130203,6428840,541023
5130401,6423190,552778
5130901,6436930,545055
5130902,6445310,548758
5610101,6451600,557787
5610102,6448760,556305
5610103,6454470,559902
5610105,6450430,559625
5610106,6453690,553685
5610201,6460560,553293
5610401,6461650,566556
5610601,6450950,578775
5610701,6446750,567741
5630101,6452150,593390
5630102,6452460,595195
5630201,6465720,581714
5630202,6458340,591079
5630401,6455780,615749
5630501,6440650,596906
5820101,6483360,577482
5820102,6482630,577560
5820103,6481950,577254
5820201,6479860,574797
5820301,6477000,580997
5820401,6481380,566227
5820601,6471560,568646
5820701,6474980,591037
5820801,6470610,609740
5090101,6447220,487576
5090201,6455290,478357
5090202,6447360,475467
5090301,6461580,484666
5120101,6425060,505931
5120201,6418230,510223
5120301,6409150,521015
5120401,6404820,509240
5600201,6437200,511154
5600202,6448130,497742
5600401,6450670,509259
5840101,6478650,492946
5840102,6478640,496214
5840103,6476620,494515
5840105,6470840,496207
5840301,6472930,487363
5860101,6465240,507179
5860102,6464160,506432
5860103,6466610,507846
5860104,6460790,508382
5860105,6465530,508755
5860106,6464850,508523
5860107,6463820,508403
5860108,6464410,508077
5860201,6467230,505642
5860301,6473530,504261
5860302,6471960,501759
5860303,6471300,505581
5860701,6477870,509659
5861001,6464460,497115
5861401,6456380,517089
5861701,6470660,517956
5861801,6469300,514932
5861901,6468470,516497
5620101,6508110,544292
5620103,6507230,540997
5620105,6503010,544216
5620106,6510680,542901
5620108,6507060,546706
5620109,6508940,547310
5620110,6515120,547513
5620111,6505170,552587
5620113,6505260,545369
5620201,6520560,532499
5620202,6505910,532142
5620203,6517360,527338
5620204,6514970,541167
5620301,6528500,539801
5620401,6533460,548116
5620402,6518940,555210
5620403,6527320,559213
5830101,6487200,498577
5830102,6488220,501989
5830103,6488460,500091
5830104,6489540,498890
5830105,6489430,503001
5830106,6490310,502944
5830107,6494450,504393
5830108,6491650,500439
5830109,6486990,501724
5830110,6489800,504969
5830111,6488200,504664
5830112,6485600,505187
5830113,6489150,501340
5830114,6488840,501715
5830115,6489330,502228
5830116,6489940,501476
5830301,6496150,494069
5830401,6513180,511412
5830601,6497020,512955
5830602,6489480,519269
5830801,6484650,513431
5832201,6508200,521392
5832301,6480930,503392
6420103,6428400,430651
6420301,6422400,432587
6420302,6422180,434531
6420304,6415990,429947
6430101,6415840,445871
6430102,6420100,443170
6430104,6416720,438381
6430105,6427110,445233
6430107,6419260,447092
6430108,6420080,446035
6800125,6402960,446228
6800126,6404610,450292
6800127,6404300,449711
6800128,6404810,449803
6800129,6403870,449496
6800130,6403940,450088
6800131,6403460,449501
6800132,6403760,448904
6800133,6401590,448179
6800134,6403150,449008
6800135,6404760,449298
6800136,6405950,447998
6800137,6404840,448429
6800138,6406500,448772
6800139,6407100,449005
6800140,6403420,449948
6800141,6405610,448975
6800142,6408100,449293
6802081,6414080,448476
6802082,6408690,444359
6802083,6409840,447857
6802085,6412080,448898
6802086,6413350,448796
6802184,6406060,431856
6802285,6392790,430899
6800201,6404590,450882
6800202,6404580,451666
6800203,6404070,451509
6800204,6404110,452685
6800205,6403670,453677
6800206,6404280,453842
6800207,6403440,454728
6800216,6404640,452653
6800318,6402720,450127
6800320,6398700,448994
6800321,6401580,452419
6800322,6400500,449613
6800324,6399830,449648
6800863,6396630,447858
6800864,6394930,447104
6800865,6398280,444120
6800896,6399750,447917
6801574,6395250,463690
6801575,6387080,457718
6801676,6395560,450693
6801689,6391870,451212
6801979,6389540,444246
6801980,6393740,442091
6801988,6393520,446548
6800211,6404400,453059
6800212,6405400,453968
6800213,6405610,455216
6800214,6404890,454358
6800215,6405050,455476
6800542,6403230,456331
6800543,6403800,456130
6800544,6404370,456144
6800545,6407560,456891
6800547,6406330,456819
6800548,6405440,457121
6800549,6404950,456566
6800551,6404120,457042
6800552,6403360,457764
6800553,6404570,457821
6800654,6401730,459644
6800655,6407030,459714
6800656,6404920,458818
6800657,6404500,454729
6800760,6426460,471101
6800761,6435930,472618
6800967,6434280,461055
6801068,6413350,464072
6801069,6412760,458801
6801170,6422440,465042
6801473,6406730,474667
6040103,6415570,480230
6040202,6408430,492462
6040301,6406480,502936
6820101,6390300,481889
6820103,6388870,482449
6820104,6385860,484287
6820105,6390540,482616
6820106,6390090,483768
6820107,6394300,482157
6820108,6391680,481527
6820109,6391030,479626
6820110,6386050,479850
6820315,6372350,476454
6820316,6369210,486387
6820317,6379090,484955
6820519,6394240,489439
6820623,6403630,488692
6820724,6392160,470203
6820826,6397360,474974
6820929,6381970,469189
6840101,6362400,480581
6840102,6362550,476094
6840103,6358690,484082
6840304,6361470,467436
6840605,6343420,470048
6840706,6348510,479750
6850101,6366620,505025
6850102,6365210,506126
6850103,6367220,499082
6850104,6364100,505245
6850105,6363540,503371
6850106,6365550,503378
6850107,6373750,501723
6850309,6358720,506397
6850511,6352110,492275
6850816,6342500,497973
6851320,6352200,523241
6851522,6366830,515336
6851623,6373450,533879
6851926,6371860,492749
6860101,6392840,498386
6860102,6392980,496959
6860103,6391560,497386
6860104,6390080,496310
6860105,6390660,498959
6860106,6389730,499541
6860121,6395260,499283
6860207,6382090,529081
6860514,6389010,520114
6860615,6384990,511373
6860820,6382930,500863
6870101,6441650,497334
6870102,6436340,497802
6870103,6434610,499716
6870104,6430440,497050
6870105,6432730,498640
6870106,6432740,499299
6870107,6432450,500719
6870108,6425750,497647
6870109,6431450,497952
6870110,6431600,493435
6870212,6432140,481045
6870311,6429610,487864
6170202,6363810,424906
6170303,6353880,436081
6170404,6349140,427437
6170501,6359260,423650
6170502,6356300,428316
6170503,6354900,422135
6620101,6352470,412544
6620102,6352820,411724
6620103,6351600,411265
6620104,6348400,410992
6620105,6352240,413890
6620106,6350190,413835
6620107,6354930,407021
6620408,6349140,418462
6620409,6352780,418107
6620410,6347100,417512
6620511,6375520,425855
6620812,6366000,414210
6620913,6336010,403004
6620914,6342960,403839
6620915,6334760,404923
6621017,6341770,394341
6621218,6329230,387787
6621419,6326160,418005
6621620,6338190,413159
6650101,6372090,445758
6650102,6374120,448756
6650103,6373460,451258
6650104,6380570,442667
6650305,6365680,452285
6650306,6365160,446520
6650509,6364180,439399
6650610,6369350,458706
6830101,6344170,439668
6830102,6338800,441400
6830103,6341100,442476
6830104,6338220,442870
6830105,6337360,443807
6830106,6337490,446424
6830107,6337280,442314
6830108,6335490,441407
6830109,6339230,442344
6830111,6338680,440489
6830123,6340750,443678
6830124,6336510,439217
6830125,6338070,443988
6830209,6337550,423593
6830210,6339690,423438
6830411,6339500,434071
6830512,6325940,432992
6830613,6333550,427805
6830916,6329760,444456
6831017,6336100,459015
6831219,6324280,455544
6831220,6312060,456760
6831321,6346700,454954
7600101,6339560,518465
7600102,6333310,526992
7600305,6311920,520252
7600407,6330110,513170
7600511,6318050,538537
7610101,6290460,516819
7610102,6293230,516567
7610203,6290700,511270
7610206,6293120,506692
7610304,6299220,525418
7610405,6282700,520948
7630101,6265640,498878
7630102,6258700,497116
7630204,6257920,481299
7630309,6271450,513858
7630511,6261550,507726
7630612,6274920,496565
7630716,6265040,488457
7640101,6307290,472923
7640102,6299870,468703
7640103,6303580,474706
7640104,6307140,471500
7640105,6310880,475769
7640408,6308810,465673
7640509,6324190,467039
7640510,6319740,476063
7640914,6293870,462340
7641017,6287530,473861
7641119,6276410,471598
7650101,6270220,448138
7650103,6266840,444468
7650115,6270990,445148
7650116,6266260,447187
7650117,6268080,448345
7650204,6265040,462091
7650305,6280770,458838
7650408,6275270,451796
7650511,6268910,435418
7670101,6257910,412830
7670103,6258600,409429
7670104,6258010,414184
7670205,6273090,413981
7670308,6265740,421962
7800115,6303960,488181
7800116,6302560,486333
7800117,6302140,487797
7800118,6303610,488902
7800119,6303370,489671
7800120,6303310,491959
7800121,6304030,487354
7800171,6303390,488022
7800225,6302140,504914
7800326,6328470,502117
7800630,6316450,506069
7800731,6299960,496653
7800833,6289940,496495
7800934,6283000,502991
7801338,6285660,489320
7801439,6289790,480676
7801641,6300320,476980
7801742,6302780,482250
7801853,6310520,483551
7801944,6317440,483806
7802045,6311920,494743
7802062,6307440,490939
7802154,6320910,490898
7802155,6322210,495449
7802449,6336590,487220
7802551,6328200,485064
7802855,6304930,488412
7802865,6304450,488140
7802866,6304620,488750
7802868,6305190,490191
7802869,6305490,488948
7802960,6307440,488975
7802974,6305920,487970
7802975,6306230,488644
7802976,6305350,487631
7802977,6305520,487275
7802978,6306090,487407
7802979,6305850,485511
7802980,6304710,486140
7802981,6310720,488005
7802982,6304620,487256
7802988,6307140,487825
7802989,6307710,486364
7803082,6302350,489409
7803083,6299770,491461
7803085,6299970,487126
7803086,6301720,488826
7803087,6301220,489722
7803088,6299050,489358
7803089,6301040,488909
7803090,6301010,489336
7810101,6300000,435245
7810102,6300120,436394
7810103,6299820,437760
7810104,6297320,437475
7810105,6298000,435139
7810106,6299770,431747
7810107,6298680,434706
7810130,6302090,434421
7810310,6296410,449118
7810714,6286500,434031
7810815,6307670,434072
7810816,6314540,440004
7811119,6293960,419904
7811624,6289780,404296
8830101,6402960,597689
8830102,6402600,597009
8830103,6406880,596511
8830104,6403400,596489
8830105,6404060,596225
8830106,6404570,593985
8830107,6402930,594914
8830108,6401360,596721
8830112,6402290,598992
8830113,6400270,600427
8830115,6402340,597896
8830118,6402270,597411
8830209,6407010,587740
8830310,6396640,585146
8830411,6391040,598918
8830514,6434920,584615
8830720,6430990,569583
8830922,6417550,604019
8831124,6419290,578256
8831126,6421010,588489
8831430,6412700,571737
8831431,6398710,577458
8831532,6383860,580616
8600101,6372720,549321
8600102,6370570,548535
8600103,6371230,553461
8600201,6377980,541636
8600301,6363460,546719
8600401,6363220,534547
8600501,6350060,535115
8600601,6373140,561239
8600801,6351450,552582
8840101,6385830,556098
8840102,6392670,550834
8840103,6393140,553179
8840104,6391240,552536
8840105,6394510,550849
8840106,6382070,550167
8840301,6396750,531011
8840501,6393150,560225
8840601,6404060,563298
8840701,6404280,552917
8840801,6407160,540930
8840802,6397490,544584
8840901,6380450,568930
8210101,6339410,551533
8210201,6334560,559646
8210202,6343220,563365
8210301,6323920,566636
8210401,6334690,542076
8610101,6322540,587631
8610102,6323380,587554
8610103,6320480,586224
8610104,6326610,594696
8610105,6318620,590282
8610201,6334550,576988
8610301,6316910,579060
8610302,6309880,585898
8610303,6311350,595769
8820101,6350130,589714
8820102,6349250,587853
8820103,6348600,586645
8820104,6347360,586219
8820105,6347880,587372
8820106,6347270,587485
8820107,6346330,586905
8820108,6347240,589160
8820109,6344850,590165
8820110,6345750,587487
8820319,6371310,594121
8820321,6363310,598672
8820411,6363270,572627
8820513,6346140,583716
8820514,6349080,584928
8820515,6350300,580311
8820517,6337400,589332
8340101,6257940,548462
8340201,6244320,555227
8340202,6251860,559242
8340401,6255980,565259
8340402,6246450,565504
8620101,6275490,532355
8620102,6277080,534530
8620201,6273970,536789
8620202,6265370,538354
8620301,6287950,533383
8620401,6269390,526387
8810101,6290010,556197
8810102,6289810,554569
8810103,6290240,555510
8810104,6289410,556905
8810105,6288510,558132
8810106,6288450,555540
8810107,6284320,561319
8810201,6318800,554187
8810301,6308530,564337
8810401,6297450,562487
8810501,6286420,550832
8810502,6296050,554001
8810601,6282360,543616
8810901,6302550,541203
8800201,6290000,573706
8800202,6289390,577874
8800203,6286700,578111
8800204,6288300,583910
8800205,6284180,578896
8800501,6301640,581255
8800502,6294630,587047
8800601,6295650,575797
8801609,6281960,582420
8801610,6282000,581743
8801611,6282680,583858
8801621,6282260,580337
8801712,6283240,582846
8801713,6283440,581275
8801714,6283540,581788
8801715,6284390,581912
8801716,6283920,583513
8801817,6285000,582396
8801818,6285090,582947
8801820,6285040,583894
8801823,6286140,583361
8800101,6280190,584264
8800107,6281320,581946
8800108,6281530,583246
8800122,6280790,583011
8800124,6281540,584212
8800301,6282920,576895
8800302,6284010,573827
8800303,6280730,577368
8800401,6277420,576680
8800801,6283390,568664
8800802,6274710,573223
8800901,6268620,568532
8801001,6262370,569071
8801301,6276490,562089
8801401,6268300,554229
8801502,6280170,582901
8801503,6278070,581053
8801504,6279950,580940
8801505,6280450,581538
8801506,6280880,580096
8400105,6269970,589363
8400303,6260220,588388
8400401,6267610,598854
8400811,6243540,590373
8401304,6287980,594926
8401406,6283010,593703
8401501,6280210,590455
8401502,6279050,590336
8401503,6278080,590095
8401504,6276840,593381
8850101,6305720,601534
8850102,6304580,601057
8850203,6311540,612208
8850707,6305650,606045
8850808,6297900,597933
8851010,6290260,604728
8851313,6351800,623731
8851415,6338780,621018
8851516,6328970,617374
9800101,6393810,696051
9800102,6393900,697477
9800103,6393390,697157
9800104,6393480,699751
9800105,6392070,696634
9800106,6391110,694880
9800107,6391780,697953
9800108,6390530,696361
9800109,6391420,697234
9800110,6393320,697808
9800111,6390520,696990
9800112,6390850,697621
9800113,6389900,697565
9800114,6396240,699281
9800115,6393150,695338
9800201,6407560,732673
9800202,6399200,725551
9800401,6426840,743559
9800501,6418690,735348
9801001,6415870,721647
9801401,6407050,711301
9801801,6399740,706362
9802401,6390780,719543
9802901,6383120,715451
9803101,6389360,703969
9803501,6381090,705011
9804001,6372310,710164
9804401,6371890,726152
9804801,6387280,692977
9805301,6381520,697186
9805501,6378980,690269
9805701,6368500,702513
9806101,6365110,694855
9806301,6353580,690649
9806701,6360190,717807
9807301,6351240,714514
9807601,6346270,703060
9807602,6345340,708773
9807901,6354890,701071
9808401,6337980,699599
9809101,6320820,698374
10800508,6228270,541598
10800509,6224400,540570
10800510,6228320,540347
10800606,6240710,547833
10800611,6229970,543616
10800612,6229670,540682
10800613,6231090,540125
10800801,6235970,560762
10800903,6232350,554374
10800904,6225530,553028
10801002,6218210,551880
10801107,6217810,541002
10801205,6225620,547261
10800141,6227760,539121
10800142,6228050,538564
10800143,6229390,537899
10801421,6245980,540253
10801422,6240100,541140
10801423,6234730,540221
10801518,6236510,533263
10801616,6254510,535136
10801720,6245830,528273
10801824,6230480,531731
10801825,6229540,535335
10801844,6225660,532272
10801926,6218000,528777
10800127,6226230,536129
